delay 0.5,1554666915.4774,1554666915.50927,1554666916.06014,1554666916.09184,1554666916.82878,0.031869888305664,1.31950926780701,,,,
delay 0.5,1554666916.01003,1554666916.04177,1554666916.09192,1554666916.12364,1554666916.82903,0.031748533248901,0.787258863449097,,,,
delay 0.5,1554666916.54252,1554666916.57422,1554666919.06035,1554666919.09205,1554666919.82882,0.031694650650025,3.25460505485535,,,,
delay 0.5,1554666917.07497,1554666917.10677,1554666919.09216,1554666919.12394,1554666919.82909,0.031803607940674,2.72231864929199,,,,
delay 0.5,1554666917.60752,1554666917.63921,1554666919.12401,1554666919.15582,1554666919.82922,0.031689643859863,2.1900053024292,,,,
delay 0.5,1554666918.13996,1554666918.17166,1554666919.15594,1554666919.18785,1554666919.82933,0.031699180603027,1.65767550468445,,,,
delay 0.5,1554666918.6724,1554666918.7041,1554666919.18797,1554666919.21976,1554666919.82944,0.031694650650025,1.12533903121948,,,,
delay 0.5,1554666919.20485,1554666919.23654,1554666919.75455,1554666919.78644,1554666919.82955,0.031691312789917,0.593010902404785,,,,
delay 0.5,1554666919.7373,1554666919.76904,1554666919.78656,1554666919.81823,1554666919.82965,0.031739473342896,0.060611248016358,,,,
delay 0.5,1554666920.2698,1554666920.30519,1554666922.06056,1554666922.09238,1554666922.82872,0.035382032394409,2.52353239059448,,,,
delay 0.5,1554666920.80593,1554666920.83767,1554666922.09252,1554666922.12434,1554666922.82897,0.031741380691528,1.99129486083984,,,,
delay 0.5,1554666921.33842,1554666921.37015,1554666922.12447,1554666922.15939,1554666922.82909,0.031730890274048,1.45894122123718,,,,
delay 0.5,1554666921.87091,1554666921.90268,1554666922.15954,1554666922.19132,1554666922.8292,0.031778335571289,0.926513195037842,,,,
delay 0.5,1554666922.40343,1554666922.43509,1554666924.95567,1554666924.98741,1554666924.99685,0.031656742095947,2.56175923347473,,,,
delay 0.5,1554666922.93583,1554666922.96737,1554666924.98754,1554666925.01928,1554666925.02878,0.03154182434082,2.0614116191864,,,,
delay 0.5,1554666923.46815,1554666923.4999,1554666925.01943,1554666925.05121,1554666925.06028,0.031747102737427,1.56038308143616,,,,
delay 0.5,1554666924.00066,1554666924.03249,1554666925.05136,1554666925.08301,1554666925.09239,0.031830310821533,1.05990147590637,,,,
delay 0.5,1554666924.53324,1554666924.56502,1554666925.08318,1554666925.11484,1554666925.1498,0.031784772872925,0.584779977798462,,,,
delay 0.5,1554666925.06577,1554666925.09735,1554666925.25581,1554666925.28766,1554666925.30831,0.031572580337525,0.210968971252441,,,,
