loss setting:0.0,key,produce time,receive time client 1,receive time client 2,receive time client 3
,1554671744.36978,1554671745.63537,1554671746.69114,1554671746.48434,1554671745.6507
,1554671745.63556,1554671745.66732,1554671746.69125,1554671746.48463,1554671746.47589
,1554671745.66749,1554671746.97935,1554671749.69086,1554671748.59094,1554671747.5239
,1554671746.97953,1554671747.01133,1554671749.69111,1554671748.59121,1554671747.52415
,1554671747.01151,1554671748.35701,1554671749.69124,1554671748.59133,1554671748.61358
,1554671748.35718,1554671758.3345,1554671758.69086,1554671759.5817,1554671759.57367
,1554671758.33553,1554671758.38231,1554671758.69193,1554671759.58287,1554671759.57393
,1554671758.38244,1554671759.6193,1554671760.59132,1554671759.62778,1554671759.61796
,1554671759.61949,1554671759.65153,1554671760.59157,1554671759.71887,1554671759.65146
,1554671759.65162,1554671761.47767,1554671761.47211,1554671761.48507,1554671762.52405
,1554671761.47783,1554671761.51043,1554671761.50473,1554671761.57086,1554671762.5243
,1554671761.51059,1554671762.98259,1554671762.99517,1554671765.58182,1554671763.61492
,1554671762.98274,1554671763.01463,1554671763.59536,1554671765.58208,1554671763.61518
,1554671763.01477,1554671764.51527,1554671764.69132,1554671765.5822,1554671765.57375
,1554671764.51545,1554671764.54751,1554671764.6916,1554671765.58231,1554671765.57401
,1554671764.54767,1554671766.0833,1554671767.69121,1554671766.48469,1554671767.52459
,1554671766.08348,1554671766.11552,1554671767.69145,1554671766.48495,1554671767.52485
,1554671766.11567,1554671767.68317,1554671767.69157,1554671768.58188,1554671769.61514
,1554671767.68332,1554671767.71516,1554671767.72667,1554671768.58214,1554671769.61539
,1554671767.7153,1554671767.74731,1554671768.56972,1554671768.58227,1554671769.61552
,1554671767.74746,1554671769.18731,1554671770.59135,1554671771.48446,1554671769.61564
,1554671769.18748,1554671769.21947,1554671770.59161,1554671771.48474,1554671769.61576
,1554671769.21959,1554671771.09342,1554671771.08798,1554671771.48486,1554671772.52528
,1554671771.09357,1554671771.47915,1554671771.47226,1554671771.48498,1554671772.52555
,1554671771.47932,1554671771.51201,1554671771.50645,1554671771.52048,1554671772.52568
,1554671771.51216,1554671771.55799,1554671771.55242,1554671771.58172,1554671772.5258
,1554671771.55814,1554671772.93844,1554671773.69218,1554671774.5818,1554671775.61506
,1554671772.93859,1554671772.97087,1554671773.69245,1554671774.58207,1554671775.6153
loss setting:0.6000000000000001,,,,,
,1554671855.84449,1554671855.87675,1554671857.69504,1554671856.34238,1554671855.89469
,1554671855.87694,1554671855.91078,1554671857.6953,1554671856.34263,1554671856.29001
,1554671855.91092,1554671856.99467,1554671857.69542,1554671858.58466,1554671857.52647
,1554671856.99483,1554671857.02687,1554671857.69553,1554671858.58492,1554671857.52672
,1554671857.02701,1554671857.20643,1554671857.69563,1554671858.58505,1554671857.52684
,1554671857.20657,1554671857.70234,1554671858.01366,1554671858.58517,1554671858.65698
,1554671857.7025,1554671858.20262,1554671858.75998,1554671858.58529,1554671858.71952
,1554671858.20277,1554671858.23504,1554671858.76026,1554671858.5854,1554671858.71976
,1554671858.23516,1554671858.26708,1554671858.76039,1554671858.58549,1554671858.71987
,1554671858.2672,1554671858.29903,1554671858.76054,1554671858.58561,1554671858.72002
,1554671858.29916,1554671858.33108,1554671858.76064,1554671858.5857,1554671858.72014
,1554671858.33123,1554671858.36308,1554671858.76075,1554671858.5858,1554671858.72024
,1554671858.36322,1554671858.39506,1554671858.76086,1554671858.58589,1554671858.72034
,1554671858.39521,1554671858.4311,1554671858.76095,1554671858.58598,1554671858.72045
