message size, message key, sending time, receiving time(remote), forwarding time(remote), receiving time(local),cs delay,c-s-c delay,min(cs),mean(cs),max(cs),min(csc),mean(csc),max(csc)
Question 3,,,,,,,,,,,,,
32,1554185430.561,1554185430.59288,1554185431.18936,1554185431.26056,1554185431.51152,0.596479892730713,0.918639898300171,,,,,,
32,1554185435.95818,1554185435.99017,1554185436.4058,1554185436.43796,1554185436.44265,0.415630102157593,0.45248007774353,,,,,,
32,1554185435.99043,1554185436.26237,1554185436.43818,1554185436.47107,1554185436.47569,0.175809860229492,0.213319778442383,,,,,,
32,1554185436.26266,1554185436.36418,1554185436.47125,1554185436.79012,1554185436.79478,0.107069969177246,0.430599927902222,,,,,,
32,1554185436.36437,1554185436.45937,1554185436.79042,1554185436.90294,1554185436.95674,0.331050157546997,0.497370004653931,,,,,,
32,1554185436.45958,1554185436.49171,1554185436.96222,1554185436.9944,1554185437.03023,0.470510005950928,0.538520097732544,,,,,,
32,1554185441.61725,1554185441.64965,1554185441.72417,1554185441.75627,1554185441.76101,0.074519872665405,0.111359834671021,,,,,,
32,1554185441.64992,1554185441.68187,1554185441.78701,1554185441.8189,1554185441.82361,0.105139970779419,0.141740083694458,,,,,,
32,1554185441.68199,1554185441.7139,1554185441.81919,1554185441.85109,1554185441.85577,0.105289936065674,0.141870021820068,,,,,,
32,1554185441.71405,1554185441.77751,1554185441.85139,1554185441.88361,1554185442.20515,0.073879957199097,0.427639961242676,,,,,,
32,1554185441.7777,1554185441.80967,1554185441.88388,1554185441.95064,1554185442.23711,0.074209928512573,0.42743992805481,,,,,,
Question 10, message key, sending time, receiving time(remote), forwarding time(remote), receiving time(local),cs delay,c-s-c delay,min(csc),mean(csc),max(csc),,,
32,1554185459.86617,1554185459.89813,1554185460.6192,1554185460.65108,1554185460.65578,0.721070051193237,0.757650136947632,0.03137993812561,0.87031219959259,2.42447996139526,,,
32,1554185460.89953,1554185460.93151,1554185462.73213,1554185462.76396,1554185462.98286,1.80062007904053,2.05135011672974,0.031509876251221,0.915821008682251,3.57241988182068,,,
32,1554185461.9329,1554185461.96474,1554185462.76422,1554185462.79606,1554185462.98313,0.799479961395264,1.01838994026184,0.03138017654419,0.312533802986145,0.833319902420044,,,
32,1554185462.96613,1554185462.9982,1554185462.99557,1554185463.02737,1554185463.03212,-0.002629995346069,0.033920049667358,0.03154993057251,0.469942407608032,1.55883979797363,,,
32,1554185463.99956,1554185464.03166,1554185464.02684,1554185464.05873,1554185464.06359,-0.004820108413696,0.031929969787598,0.031630039215088,0.054191813468933,0.111800193786621,,,
32,1554185465.03301,1554185465.06511,1554185465.0604,1554185465.09231,1554185465.09709,-0.004709959030151,0.031980037689209,0.031110048294067,0.053247013092041,0.080209970474243,,,
32,1554185466.06653,1554185466.09856,1554185466.09374,1554185466.12571,1554185466.13036,-0.004820108413696,0.031799793243408,0.184430122375488,0.266410012245178,0.436929941177368,,,
32,1554185467.09992,1554185467.13212,1554185468.61082,1554185468.6425,1554185469.1835,1.47870016098022,2.0513801574707,0.119859933853149,0.151910791397095,0.292220115661621,,,
